,mean_median_freq,max_median_freq,median_freq_list,id
113,32.317640851704844,50.73170731707317,"[50.73170731707317, 34.53136011275546, 31.805425631431245, 17.00318809776833, 29.77667493796526, 34.883720930232556, 27.491408934707906]",113
114,76.18280731290565,92.66055045871559,"[78.83082373782108, 92.66055045871559, 62.70627062706271, 63.58381502890174, 64.98951781970649, 79.36507936507937, 91.14359415305245]",114
115,77.55030158463418,85.34322820037106,"[79.28642220019822, 75.49857549857549, 69.24882629107982, 78.3744557329463, 85.34322820037106]",115
116,78.04898562309322,101.31332082551594,"[67.54221388367729, 76.24113475177305, 101.31332082551594, 75.5287009063444, 69.73995271867612, 75.47169811320754, 81.88153310104529, 75.53107789142408, 79.19123841617522]",116
117,82.30355409025371,99.46524064171122,"[99.46524064171122, 76.05421686746988, 85.27755430410296, 78.33655705996131, 79.19847328244275, 75.48928238583412]",117
118,81.93184697786776,85.15130190007037,"[82.6086956521739, 76.67473769168684, 80.81570996978851, 84.40878967561912, 85.15130190007037]",118
119,108.45836798799307,133.15926892950392,"[94.94949494949496, 86.37873754152824, 112.90322580645162, 94.94451294697903, 107.40354535974973, 129.46979038224413, 133.15926892950392]",119
120,87.16080111603604,90.9090909090909,"[82.58064516129032, 90.9090909090909, 87.99266727772687]",120
121,82.530278034206,84.52950558213716,"[84.52950558213716, 81.15543328748281, 84.33734939759037, 80.35062089116143, 82.27848101265823]",121
122,86.19679918436343,91.53005464480874,"[83.89715832205682, 86.72936259143155, 82.88770053475936, 88.16705336426914, 83.96946564885496, 91.53005464480874]",122
123,49.662155125103794,64.74820143884892,"[48.25291181364393, 54.1871921182266, 64.74820143884892, 26.69404517453799, 60.786650774731825, 43.30392943063352]",123
124,91.75478583768692,99.29078014184398,"[91.19010819165378, 99.29078014184398, 87.1111111111111, 88.41463414634147, 92.76729559748426]",124
125,97.14988417362198,121.35922330097087,"[84.70588235294117, 87.4125874125874, 95.67901234567901, 107.86290322580645, 87.62322015334064, 121.35922330097087, 95.40636042402826]",125
126,88.07515257080318,92.34234234234235,"[88.26945412311267, 88.59470468431772, 83.60128617363344, 92.34234234234235, 87.6010781671159, 88.04204993429698]",126
127,88.73833592762517,101.01010101010101,"[87.41721854304636, 79.90012484394506, 81.60123171670516, 85.71428571428571, 86.87068114511352, 98.65470852017937, 101.01010101010101]",127
128,80.45695556727883,87.79761904761904,"[81.2121212121212, 72.61724659606656, 79.71014492753622, 79.5593635250918, 87.79761904761904, 81.84523809523809]",128
129,83.40839116676388,126.30662020905923,"[76.64233576642334, 81.42201834862385, 126.30662020905923, 78.2122905027933, 73.47876004592422, 76.75438596491227, 76.99805068226121, 77.4526678141136]",129
130,82.2043565719078,90.37328094302553,"[82.68733850129199, 71.19741100323625, 81.63265306122449, 90.37328094302553, 85.71428571428571, 80.7899461400359, 85.71428571428571, 79.24528301886792, 82.4847250509165]",130
131,87.39387361958335,99.59623149394346,"[84.46455505279035, 82.03677510608203, 81.43322475570032, 99.59623149394346, 90.07981755986317, 86.75263774912075]",131
132,83.71971396448464,91.6754478398314,"[89.45260347129506, 88.8030888030888, 84.66819221967964, 79.57957957957957, 68.36461126005362, 89.68609865470852, 91.6754478398314, 77.52808988764045]",132
133,55.39660354265134,68.70860927152317,"[50.161117078410314, 68.70860927152317, 63.77325066430469, 52.75229357798165, 51.166965888689404, 51.083591331269346, 50.13039698638076]",133
